,이름,가격,평점,URL,파일이름
49,"웰치 제로 포도, 500ml, 24개","16,200",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3122435081701844-71877166-3a98-4369-8e62-d352c6287101.jpg,"/Users/choejong-gyu/Desktop/image//50등,웰치 제로 포도, 500ml, 24개.jpg"
50,"달콤한 베지밀 비 검은콩 두유, 145ml, 24개입","16,900",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8847496390508133-d30cf326-51f0-4d41-881f-a1fe81d65265.jpg,"/Users/choejong-gyu/Desktop/image//51등,달콤한 베지밀 비 검은콩 두유, 145ml, 24개입.jpg"
51,"센트룸 멀티 구미 160g, 80정, 2개","48,000",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/125348994180803-75b039de-7dd1-48f6-bfd6-fad3e9a133a1.jpg,"/Users/choejong-gyu/Desktop/image//52등,센트룸 멀티 구미 160g, 80정, 2개.jpg"
52,"곰곰 냉동 다진마늘, 1kg, 1개","12,390",4.5,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/605092107039372-a6eefdcf-5496-41de-a538-db82276375ab.png,"/Users/choejong-gyu/Desktop/image//53등,곰곰 냉동 다진마늘, 1kg, 1개.jpg"
53,"닥터유 제주 용암수 무라벨, 530ml, 40개","14,200",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4230213281262563-911a48c0-e7aa-4261-b9d7-b9e601a13ac6.jpg,"/Users/choejong-gyu/Desktop/image//54등,닥터유 제주 용암수 무라벨, 530ml, 40개.jpg"
54,"잇메이트 닭가슴살 스테이크 혼합 구성 18팩 (냉동), 1세트","25,900",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4527292169605000-1451c44d-5b02-48c4-841a-16bcba871fac.jpg,"/Users/choejong-gyu/Desktop/image//55등,잇메이트 닭가슴살 스테이크 혼합 구성 18팩 (냉동), 1세트.jpg"
55,"담터 생강차 플러스, 15g, 50개입, 3개","28,270",5.0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1766828842490244-5b841bba-720c-4492-9d6e-bf375b155997.jpg,"/Users/choejong-gyu/Desktop/image//56등,담터 생강차 플러스, 15g, 50개입, 3개.jpg"
56,"얼라이브 원스 데일리 포맨 멀티 비타민, 60정, 1개","20,270",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4796853033937082-54c0bb5f-5816-4ce8-8d42-91d14ab11aee.jpg,"/Users/choejong-gyu/Desktop/image//57등,얼라이브 원스 데일리 포맨 멀티 비타민, 60정, 1개.jpg"
57,"스타벅스 하우스 블렌드, 홀빈, 1.13kg, 1개","41,300",5.0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7540232073313759-bf2253b4-5129-4580-9086-fc6361389df3.jpg,"/Users/choejong-gyu/Desktop/image//58등,스타벅스 하우스 블렌드, 홀빈, 1.13kg, 1개.jpg"
58,"지하암반해수로 씻어낸 생굴 (냉장), 500g, 1개","14,000",4.5,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1148645812670804-36e96478-2f2d-4e38-be25-a4ae741429d9.jpg,"/Users/choejong-gyu/Desktop/image//59등,지하암반해수로 씻어낸 생굴 (냉장), 500g, 1개.jpg"
59,"하림 자연실록 무항생제 인증 닭다리살 정육 (냉장), 350g, 2팩","11,180",5.0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2700754094560515-ebc4cbaa-4c4f-4750-8b41-2e6ae5ab26ed.jpg,"/Users/choejong-gyu/Desktop/image//60등,하림 자연실록 무항생제 인증 닭다리살 정육 (냉장), 350g, 2팩.jpg"
