N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
29,메리츠금융지주,"52,900",300,-0.56%,500,"110,147","208,218",16.63,"266,152",5.06,30.32,
30,카카오뱅크,"22,950","1,100",-4.57%,"5,000","109,418","476,767",15.28,"961,710",33.85,4.68,
31,SK텔레콤,"49,900",250,+0.50%,100,"109,198","218,833",41.05,"367,597",10.23,7.97,
32,한국전력,"16,950",240,-1.40%,"5,000","108,813","641,964",13.90,"1,135,003",-0.53,-46.91,
33,삼성전기,"134,400",900,+0.67%,"5,000","100,388","74,694",31.13,"160,647",17.16,13.76,
34,고려아연,"479,500",500,-0.10%,"5,000","100,257","20,909",18.56,"44,520",15.97,9.38,
35,포스코인터내셔널,"56,400","2,700",-4.57%,"5,000","99,220","175,923",6.39,"1,427,891",13.92,15.79,
36,HD현대중공업,"111,400",500,+0.45%,"5,000","98,893","88,773",7.09,"45,737",-91.61,-6.47,
37,크래프톤,"192,900","2,100",+1.10%,100,"93,292","48,363",32.08,"116,989",20.71,10.29,
38,우리금융지주,"12,320",40,+0.33%,"5,000","92,640","751,949",37.09,"890,624",3.07,11.51,
39,기업은행,"11,470",40,-0.35%,"5,000","91,465","797,426",14.09,"488,876",3.12,9.85,
40,두산에너빌리티,"13,840",270,-1.91%,"5,000","88,654","640,561",12.87,"1,610,736",-24.32,-11.70,
41,하이브,"212,000",0,0.00%,500,"88,302","41,652",20.70,"330,420",137.84,1.87,
42,KT,"32,900",50,-0.15%,"5,000","84,836","257,861",42.72,"229,220",6.98,7.99,
43,아모레퍼시픽,"138,200","6,800",-4.69%,500,"80,837","58,493",26.46,"153,130",60.69,2.81,
44,대한항공,"21,300",350,-1.62%,"5,000","78,431","368,221",16.07,"405,235",5.89,21.95,
45,S-Oil,"66,900",100,-0.15%,"2,500","75,318","112,583",76.84,"165,019",16.88,27.20,
46,TIGER CD금리투자KIS(합성),"53,310",5,+0.01%,0,"69,337","130,064",0.02,"79,455",N/A,N/A,
47,HD한국조선해양,"97,100",900,-0.92%,"5,000","68,721","70,773",25.16,"134,799",166.27,-2.22,
48,SK바이오팜,"87,600","2,400",+2.82%,500,"68,602","78,313",7.52,"145,024",-81.19,-36.66,
49,SK스퀘어,"48,250",400,+0.84%,100,"67,058","138,981",45.28,"205,901",-3.63,1.55,
50,현대글로비스,"173,400",0,0.00%,500,"65,025","37,500",48.04,"25,712",5.59,18.78,
51,한미반도체,"66,300","4,800",+7.80%,100,"64,536","97,339",11.80,"3,891,030",32.01,25.04,
52,KODEX 200,"32,475",185,-0.57%,0,"63,830","196,550",2.55,"2,887,572",N/A,N/A,
53,한화에어로스페이스,"124,800",500,+0.40%,"5,000","63,186","50,630",34.27,"284,472",7.83,6.98,
54,삼성중공업,"7,150",10,-0.14%,"1,000","62,920","880,000",20.01,"1,877,089",-14.21,-16.08,
55,롯데케미칼,"144,100","13,600",-8.62%,"5,000","61,639","42,775",25.18,"294,954",-107.78,0.43,
56,DB손해보험,"84,600","1,800",+2.17%,500,"59,897","70,800",46.66,"93,907",4.26,16.45,
57,금양,"100,400","2,300",-2.24%,500,"58,282","58,050",6.42,"375,344",-135.86,-24.34,
58,엔씨소프트,"261,000","3,500",-1.32%,500,"57,300","21,954",41.20,"76,269",19.64,13.73,
59,LG이노텍,"241,500","2,000",+0.84%,"5,000","57,156","23,667",20.76,"88,554",9.67,25.85,
60,카카오페이,"40,650","1,900",-4.47%,500,"54,518","134,115",40.05,"169,612",108.40,3.08,
